id,商品名,slug,カテゴリ,サブカテゴリ,サイズ,価格,ステータス,説明,並び順,画像URL,在庫数,SKU,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
6bd32601-a9b4-4ced-a0e6-cfe58ec6b795,テスト商品（メルマガ機能検証用）,product-1778988980853,,,,1000,published,,1,,1,SKU-1778988980853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf75754f-49c6-4a59-8619-3e3c25c3c297,テスト産地ぶどう,test-budou-2026,,,,1500,published,,2,,11,TEST-BUDOU-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea3d9c4a-4f1c-4a5a-87b3-1224b6488f22,テスト産地いちご,test-ichigo-2026,,,,1200,published,,3,,11,TEST-ICHIGO-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9cb821f-ed8e-475f-afe0-ebff3880c967,テスト産地みかん,test-mikan-2026,,,,800,published,,4,,11,TEST-MIKAN-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bbb2d0a-554b-47fd-9140-d59884f1c9e2,テスト産地りんご,test-apple-2026,,,,1000,published,,5,,11,TEST-APPLE-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df82f4c6-fcf6-4a5a-bb8e-695dcae0a5f6,チキンボールスープカレー,チキンボールスープカレー-1,加工食品,,,0,published,,6,https://lh3.googleusercontent.com/d/1tEkytz4LELw6bgxZ3sCCeeAlzK2uZ85t=w1600;https://lh3.googleusercontent.com/d/11snF0QwS-XbJKMiC_QGr5NfGUjDgrS_F=w1600,2,c664ec86-チキンボールスープカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a647e46b-6654-45b9-811e-725b0086f7f4,グリルチキンスープカレー,グリルチキンスープカレー-1,加工食品,,,0,published,,7,https://lh3.googleusercontent.com/d/1pNbBuFJl9j03Q6usz1iZZZbNG8UZpEb1=w1600;https://lh3.googleusercontent.com/d/1X73rximi4EnSh6Id7fbM52hZshb0JuF8=w1600,2,c664ec86-グリルチキンスープカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b525c03e-175f-4c6a-a1d4-7fd0b69b8d62,鶏ひき肉とお豆スープカレー,鶏ひき肉とお豆スープカレー-1,加工食品,,,0,published,,8,https://lh3.googleusercontent.com/d/1Hu1whMzlC-AFCZOBzjZQlEXhJC-7pwzp=w1600;https://lh3.googleusercontent.com/d/1-46tZYGXfMUaDnRBs4hOZeHbI4H3gOlt=w1600,2,c664ec86-鶏ひき肉とお豆スープカレー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dde67152-2fe7-4860-b552-0a417ae6d085,しいたけ屋が本気でうなった旨だしつゆ,しいたけ屋が本気でうなった旨だしつゆ-1,,,,0,published,,9,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/dde67152-2fe7-4860-b552-0a417ae6d085/1779022652235-6i5kik.jpeg,2,c664ec86-しいたけ屋が本気でうなった旨だしつゆ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1d84a39-9b75-4d31-add2-1b7d3fe4fd2f,大分県産うまみ冬50g,大分県産うまみ冬50g-1,,,,0,published,,10,,2,c664ec86-大分県産うまみ冬50g-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f980d9e8-a5ae-4a4d-917b-ac51ba0960d2,しいたけかぼすポン酢,しいたけかぼすポン酢-1,,,,0,published,,11,,2,c664ec86-しいたけかぼすポン酢-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17abb448-231d-429c-8c67-431355046555,椎茸かぼす塩,椎茸かぼす塩-1,調味料,,,0,published,,12,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/17abb448-231d-429c-8c67-431355046555/1779026069210-poh934.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/17abb448-231d-429c-8c67-431355046555/1779026076050-669m4o.jpeg,2,c664ec86-椎茸かぼす塩-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bb30e93-4636-435f-a760-04c11d185590,椎茸かぼすペッパー,椎茸かぼすペッパー-1,調味料,,,0,published,,13,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/6bb30e93-4636-435f-a760-04c11d185590/1779026216190-jbeoae.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/6bb30e93-4636-435f-a760-04c11d185590/1779026220265-jpuiph.jpeg,2,c664ec86-椎茸かぼすペッパー-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6cb33d2f-27e6-4964-8066-12fac1bbe7fe,しいたけ農家のクリームパスタソース,しいたけ農家のクリームパスタソース-1,,,,0,published,,14,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/6cb33d2f-27e6-4964-8066-12fac1bbe7fe/1779031652340-vml9aa.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/6cb33d2f-27e6-4964-8066-12fac1bbe7fe/1779031660608-whh32b.jpeg,2,c664ec86-しいたけ農家のクリームパスタソース-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85e166a1-cb35-4c69-ade7-eac83dea2568,ビーフストロガノフ,ビーフストロガノフ-1,,,,0,published,,15,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/85e166a1-cb35-4c69-ade7-eac83dea2568/1778604477410-vxixy6.jpeg,2,c664ec86-ビーフストロガノフ-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4966d18-4590-4f53-9e30-5eb8dd25a7a8,しいたけ農家のボロネーゼパスタソース,しいたけ農家のボロネーゼパスタソース-1,,,,0,published,,16,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/b4966d18-4590-4f53-9e30-5eb8dd25a7a8/1779029045579-7t6sqq.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/b4966d18-4590-4f53-9e30-5eb8dd25a7a8/1779029051494-ctivcb.jpeg,2,c664ec86-しいたけ農家のボロネーゼパスタソース-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
